Hernan_Ortega;derrota;asado;25;
Lolita_perez;victoria;sushi;7;
Hernan_Ortega;victoria;computadora;11;
Hernan_Ortega;derrota;archivo;50;
Hernan_Ortega;victoria;fideo;5;
Hernan_Ortega;victoria;piloto;56;
Hernan_Ortega;derrota;banana;16;2;
Hernan_Ortega;victoria;hoja;5;1;
Hernan_Ortega;victoria;arroz;14;2;
Elgamercrack;victoria;manzana;4;1;
Elgamercrack;victoria;sushi;3;1;
Hernan_Ortega;derrota;guiso;17;2;
Hernan_Ortega;victoria;electricista;4;1;
Hernan_Ortega;victoria;hamburguesa;18;2;
Hernan_Ortega;victoria;tortilla;13;1;
Hernan_Ortega;victoria;pan;4;1;
Hernan_Ortega;victoria;viento;3;1;
Hernan_Ortega;victoria;software;18;2;
